time/s	<Ewe>/V	
3.672177933985222E+002	1.2246147E+000
4.272177918827947E+002	1.2399437E+000
4.872177903670672E+002	1.2495756E+000
5.472177888513397E+002	1.2555588E+000
6.072177873356122E+002	1.2596172E+000
6.073197873330355E+002	1.2612956E+000
1.034141579225252E+003	1.2553768E+000
1.094141577709524E+003	1.2622783E+000
1.154141576193797E+003	1.2654926E+000
1.214141574678069E+003	1.2675787E+000
1.274141573162342E+003	1.2691365E+000
1.274243573159765E+003	1.2698057E+000
1.701599165028383E+003	1.2546593E+000
1.761599163512656E+003	1.2622273E+000
1.821599161996928E+003	1.2655927E+000
1.881599160481201E+003	1.2676886E+000
1.941599158965473E+003	1.2692796E+000
1.941701158962896E+003	1.2699529E+000
2.368680350835493E+003	1.2264545E+000
2.428680349319766E+003	1.2274565E+000
2.488680347804038E+003	1.2282153E+000
2.548680346288311E+003	1.2287869E+000
2.608680344772583E+003	1.2292645E+000
2.608782344770007E+003	1.2294718E+000
3.034021936663848E+003	1.2235942E+000
3.094021935148121E+003	1.2246473E+000
3.154021933632393E+003	1.2254057E+000
3.214021932116666E+003	1.2259207E+000
3.274021930600939E+003	1.2263354E+000
3.274123930598362E+003	1.2265338E+000
3.700754122470535E+003	1.2208507E+000
3.760754120954807E+003	1.2218949E+000
3.820754119439080E+003	1.2226917E+000
3.880754117923352E+003	1.2232797E+000
3.940754116407625E+003	1.2237540E+000
3.940856116405048E+003	1.2239665E+000
4.369523311353667E+003	1.2012534E+000
4.429523310627235E+003	1.2052029E+000
4.489523309900804E+003	1.2070429E+000
4.549523309174372E+003	1.2081951E+000
4.609523308447941E+003	1.2090771E+000
4.609625308446703E+003	1.2094169E+000
5.038686705431348E+003	1.2036813E+000
5.098686704704916E+003	1.2076268E+000
5.158686703978485E+003	1.2093492E+000
5.218686703252053E+003	1.2104681E+000
5.278686702525622E+003	1.2113053E+000
5.278788702524398E+003	1.2116518E+000
5.708283299502640E+003	1.2059613E+000
5.768283298776209E+003	1.2094144E+000
5.828283298049777E+003	1.2110356E+000
5.888283297323345E+003	1.2121148E+000
5.948283296596914E+003	1.2129239E+000
5.948385296595676E+003	1.2132999E+000
6.372367293641917E+003	1.2960624E+000
6.432367292915485E+003	1.2980372E+000
6.492367292189054E+003	1.2991762E+000
6.552367291462622E+003	1.3000019E+000
6.612367290736191E+003	1.3006828E+000
6.612469290734953E+003	1.3009497E+000
7.036112487784005E+003	1.3004253E+000
7.096112487057573E+003	1.3023386E+000
7.156112486331142E+003	1.3035016E+000
7.216112485604710E+003	1.3043945E+000
7.276112484878278E+003	1.3051625E+000
7.276214484877055E+003	1.3055506E+000
7.700207081923072E+003	1.3007562E+000
7.760207081196641E+003	1.3029464E+000
7.820207080470209E+003	1.3042994E+000
7.880207079743777E+003	1.3053994E+000
7.940207079017346E+003	1.3063248E+000
7.940309079016108E+003	1.3067659E+000
8.368554076010245E+003	1.2463262E+000
8.428554075283813E+003	1.2583454E+000
8.488554074557382E+003	1.2627162E+000
8.548554073830950E+003	1.2651651E+000
8.608554073104518E+003	1.2669135E+000
8.608656073103295E+003	1.2676349E+000
9.036041870110363E+003	1.2475543E+000
9.096041869383931E+003	1.2602690E+000
9.156041868657499E+003	1.2648486E+000
9.216041867931068E+003	1.2674278E+000
9.276041867204636E+003	1.2691985E+000
9.276143867203413E+003	1.2699463E+000
9.706154464179839E+003	1.2367079E+000
9.766154463453408E+003	1.2536703E+000
9.826154462726976E+003	1.2594382E+000
9.886154462000544E+003	1.2625082E+000
9.946154461274113E+003	1.2645380E+000
9.946256461272889E+003	1.2653496E+000
