time/s	<Ewe>/V	
3.606639935373096E+002	1.2935351E+000
4.206639920215821E+002	1.2968743E+000
4.806639905058546E+002	1.2990464E+000
5.406639889901271E+002	1.3007990E+000
6.006639874743996E+002	1.3023508E+000
6.007659874718229E+002	1.3030751E+000
1.025828979394209E+003	1.2935737E+000
1.085828977878482E+003	1.2963117E+000
1.145828976362754E+003	1.2983533E+000
1.205828974847027E+003	1.3000665E+000
1.265828973331299E+003	1.3014926E+000
1.265930973328723E+003	1.3022622E+000
1.691626165312337E+003	1.2981446E+000
1.751626163796609E+003	1.3002759E+000
1.811626162280882E+003	1.3015705E+000
1.871626160765154E+003	1.3026417E+000
1.931626159249427E+003	1.3036308E+000
1.931728159246850E+003	1.3041537E+000
2.358657751101200E+003	1.2598360E+000
2.418657749585473E+003	1.2670904E+000
2.478657748069745E+003	1.2703482E+000
2.538657746554018E+003	1.2724694E+000
2.598657745038290E+003	1.2740800E+000
2.598759745035713E+003	1.2747525E+000
3.027597536851754E+003	1.2700642E+000
3.087597535336026E+003	1.2784530E+000
3.147597533820299E+003	1.2816665E+000
3.207597532304571E+003	1.2836863E+000
3.267597530788844E+003	1.2850968E+000
3.267699530786267E+003	1.2857012E+000
3.693824722681893E+003	1.2653967E+000
3.753824721166166E+003	1.2727119E+000
3.813824719650438E+003	1.2758660E+000
3.873824718134711E+003	1.2778902E+000
3.933824716618983E+003	1.2794120E+000
3.933926716616406E+003	1.2800536E+000
4.360499111500467E+003	1.2306507E+000
4.420499110774035E+003	1.2318175E+000
4.480499110047604E+003	1.2325876E+000
4.540499109321172E+003	1.2331452E+000
4.600499108594740E+003	1.2335906E+000
4.600601108593502E+003	1.2337809E+000
5.028305305595233E+003	1.2308395E+000
5.088305304868802E+003	1.2320938E+000
5.148305304142370E+003	1.2328901E+000
5.208305303415938E+003	1.2334542E+000
5.268305302689507E+003	1.2338849E+000
5.268407302688269E+003	1.2340863E+000
5.695428499689122E+003	1.2361401E+000
5.755428498962690E+003	1.2372290E+000
5.815428498236259E+003	1.2379667E+000
5.875428497509827E+003	1.2384957E+000
5.935428496783396E+003	1.2389233E+000
5.935530496782158E+003	1.2391151E+000
6.366699893795943E+003	1.2050743E+000
6.426699893069512E+003	1.2086734E+000
6.486699892343080E+003	1.2103304E+000
6.546699891616649E+003	1.2114521E+000
6.606699890890217E+003	1.2123199E+000
6.606801890888994E+003	1.2126994E+000
7.038197087889421E+003	1.2095021E+000
7.098197087162989E+003	1.2141247E+000
7.158197086436558E+003	1.2160437E+000
7.218197085710126E+003	1.2174549E+000
7.278197084983694E+003	1.2182930E+000
7.278299084982456E+003	1.2185193E+000
7.709661882002518E+003	1.2142230E+000
7.769661881276086E+003	1.2176429E+000
7.829661880549655E+003	1.2192059E+000
7.889661879823223E+003	1.2202672E+000
7.949661879096791E+003	1.2210820E+000
7.949763879095553E+003	1.2214372E+000
8.372224676167622E+003	1.3131627E+000
8.432224675441190E+003	1.3157374E+000
8.492224674714758E+003	1.3172288E+000
8.552224673988327E+003	1.3183213E+000
8.612224673261895E+003	1.3192095E+000
8.612326673260657E+003	1.3196182E+000
9.036656670373050E+003	1.3131725E+000
9.096656669646618E+003	1.3159447E+000
9.156656668920186E+003	1.3175473E+000
9.216656668193755E+003	1.3187357E+000
9.276656667467323E+003	1.3197001E+000
9.276758667466100E+003	1.3201213E+000
9.701734464570793E+003	1.3140845E+000
9.761734463844361E+003	1.3169481E+000
9.821734463117929E+003	1.3186187E+000
9.881734462391498E+003	1.3199079E+000
9.941734461665066E+003	1.3209841E+000
9.941836461663828E+003	1.3214871E+000
