control/mA	<Ewe>/V	
2.0000000E-002	1.2079034E+000
2.0000000E-002	1.2077888E+000
2.0000000E-002	1.2076727E+000
2.0000000E-002	1.2075572E+000
2.0000000E-002	1.2074441E+000
2.0000000E-002	1.2073276E+000
2.0000000E-002	1.2072153E+000
2.0000000E-002	1.2071104E+000
2.0000000E-002	1.2069863E+000
2.0000000E-002	1.2068790E+000
2.0000000E-002	1.2067614E+000
2.0000000E-002	1.2066385E+000
2.0000000E-002	1.2065347E+000
2.0000000E-002	1.2064216E+000
2.0000000E-002	1.2063104E+000
2.0000000E-002	1.2062050E+000
2.0000000E-002	1.2060881E+000
2.0000000E-002	1.2059853E+000
2.0000000E-002	1.2058766E+000
2.0000000E-002	1.2057695E+000
2.0000000E-002	1.2056611E+000
2.0000000E-002	1.2055565E+000
2.0000000E-002	1.2054428E+000
2.0000000E-002	1.2053345E+000
2.0000000E-002	1.2052286E+000
2.0000000E-002	1.2051245E+000
2.0000000E-002	1.2050173E+000
2.0000000E-002	1.2049177E+000
2.0000000E-002	1.2049148E+000
2.0000000E-002	1.2048120E+000
2.0000000E-002	1.2047055E+000
2.0000000E-002	1.2046063E+000
2.0000000E-002	1.2044986E+000
2.0000000E-002	1.2044001E+000
2.0000000E-002	1.2042925E+000
2.0000000E-002	1.2041914E+000
2.0000000E-002	1.2040945E+000
2.0000000E-002	1.2039930E+000
2.0000000E-002	1.2038935E+000
2.0000000E-002	1.2037916E+000
2.0000000E-002	1.2036942E+000
2.0000000E-002	1.2035986E+000
2.0000000E-002	1.2034959E+000
2.0000000E-002	1.2034043E+000
2.0000000E-002	1.2033169E+000
2.0000000E-002	1.2032169E+000
2.0000000E-002	1.2031207E+000
2.0000000E-002	1.2030241E+000
2.0000000E-002	1.2029248E+000
2.0000000E-002	1.2028341E+000
2.0000000E-002	1.2027338E+000
2.0000000E-002	1.2026416E+000
2.0000000E-002	1.2025496E+000
2.0000000E-002	1.2024615E+000
2.0000000E-002	1.2023777E+000
2.0000000E-002	1.2022960E+000
2.0000000E-002	1.2022048E+000
2.0000000E-002	1.2021183E+000
2.0000000E-002	1.2020265E+000
2.0000000E-002	1.2019250E+000
2.0000000E-002	1.2018329E+000
2.0000000E-002	1.2017394E+000
2.0000000E-002	1.2016521E+000
2.0000000E-002	1.2015572E+000
2.0000000E-002	1.2014771E+000
2.0000000E-002	1.2013775E+000
2.0000000E-002	1.2012881E+000
2.0000000E-002	1.2012072E+000
2.0000000E-002	1.2011132E+000
2.0000000E-002	1.2010369E+000
2.0000000E-002	1.2009485E+000
2.0000000E-002	1.2008673E+000
2.0000000E-002	1.2007803E+000
2.0000000E-002	1.2006868E+000
2.0000000E-002	1.2005949E+000
2.0000000E-002	1.2005122E+000
2.0000000E-002	1.2004266E+000
2.0000000E-002	1.2003403E+000
2.0000000E-002	1.2003551E+000
2.0000000E-002	1.2002571E+000
2.0000000E-002	1.2001727E+000
2.0000000E-002	1.2000870E+000
2.0000000E-002	1.2000070E+000
2.0000000E-002	1.1999286E+000
2.0000000E-002	1.1998427E+000
2.0000000E-002	1.1997672E+000
2.0000000E-002	1.1996930E+000
2.0000000E-002	1.1996098E+000
2.0000000E-002	1.1995293E+000
2.0000000E-002	1.1994419E+000
2.0000000E-002	1.1993490E+000
2.0000000E-002	1.1992729E+000
2.0000000E-002	1.1991953E+000
2.0000000E-002	1.1991113E+000
2.0000000E-002	1.1990368E+000
2.0000000E-002	1.1989543E+000
2.0000000E-002	1.1988752E+000
2.0000000E-002	1.1987953E+000
2.0000000E-002	1.1987098E+000
2.0000000E-002	1.1986402E+000
2.0000000E-002	1.1985701E+000
2.0000000E-002	1.1984960E+000
2.0000000E-002	1.1984228E+000
2.0000000E-002	1.1983411E+000
2.0000000E-002	1.1982596E+000
2.0000000E-002	1.1981786E+000
2.0000000E-002	1.1980994E+000
2.0000000E-002	1.1980346E+000
2.0000000E-002	1.1979530E+000
2.0000000E-002	1.1978879E+000
2.0000000E-002	1.1978134E+000
2.0000000E-002	1.1977394E+000
2.0000000E-002	1.1976579E+000
2.0000000E-002	1.1975912E+000
2.0000000E-002	1.1975204E+000
2.0000000E-002	1.1974400E+000
2.0000000E-002	1.1973771E+000
2.0000000E-002	1.1973013E+000
2.0000000E-002	1.1972352E+000
2.0000000E-002	1.1971662E+000
2.0000000E-002	1.1970906E+000
2.0000000E-002	1.1970128E+000
2.0000000E-002	1.1969284E+000
2.0000000E-002	1.1968553E+000
2.0000000E-002	1.1967926E+000
2.0000000E-002	1.1967195E+000
2.0000000E-002	1.1966474E+000
2.0000000E-002	1.1965793E+000
2.0000000E-002	1.1965045E+000
2.0000000E-002	1.1964225E+000
2.0000000E-002	1.1964331E+000
2.0000000E-002	1.1963611E+000
2.0000000E-002	1.1962963E+000
2.0000000E-002	1.1962235E+000
2.0000000E-002	1.1961664E+000
2.0000000E-002	1.1960993E+000
2.0000000E-002	1.1960393E+000
2.0000000E-002	1.1959614E+000
2.0000000E-002	1.1958960E+000
2.0000000E-002	1.1958226E+000
2.0000000E-002	1.1957529E+000
2.0000000E-002	1.1956824E+000
2.0000000E-002	1.1956141E+000
2.0000000E-002	1.1955500E+000
2.0000000E-002	1.1954824E+000
2.0000000E-002	1.1954191E+000
2.0000000E-002	1.1953504E+000
2.0000000E-002	1.1952825E+000
2.0000000E-002	1.1952147E+000
2.0000000E-002	1.1951492E+000
2.0000000E-002	1.1950777E+000
2.0000000E-002	1.1950169E+000
2.0000000E-002	1.1949575E+000
2.0000000E-002	1.1948924E+000
2.0000000E-002	1.1948266E+000
2.0000000E-002	1.1947702E+000
2.0000000E-002	1.1947024E+000
2.0000000E-002	1.1946323E+000
2.0000000E-002	1.1945701E+000
2.0000000E-002	1.1945075E+000
2.0000000E-002	1.1944382E+000
2.0000000E-002	1.1943811E+000
2.0000000E-002	1.1943136E+000
2.0000000E-002	1.1942461E+000
2.0000000E-002	1.1941862E+000
2.0000000E-002	1.1941168E+000
2.0000000E-002	1.1940612E+000
2.0000000E-002	1.1939944E+000
2.0000000E-002	1.1939316E+000
2.0000000E-002	1.1938713E+000
2.0000000E-002	1.1938087E+000
2.0000000E-002	1.1937526E+000
2.0000000E-002	1.1936945E+000
2.0000000E-002	1.1936363E+000
2.0000000E-002	1.1935780E+000
2.0000000E-002	1.1935089E+000
2.0000000E-002	1.1934543E+000
2.0000000E-002	1.1933836E+000
2.0000000E-002	1.1933309E+000
2.0000000E-002	1.1932671E+000
2.0000000E-002	1.1932535E+000
2.0000000E-002	1.1932092E+000
2.0000000E-002	1.1931509E+000
2.0000000E-002	1.1930908E+000
2.0000000E-002	1.1930287E+000
2.0000000E-002	1.1929725E+000
2.0000000E-002	1.1929090E+000
2.0000000E-002	1.1928521E+000
2.0000000E-002	1.1927940E+000
2.0000000E-002	1.1927373E+000
2.0000000E-002	1.1926827E+000
2.0000000E-002	1.1926235E+000
2.0000000E-002	1.1925653E+000
2.0000000E-002	1.1925055E+000
2.0000000E-002	1.1924478E+000
2.0000000E-002	1.1923956E+000
2.0000000E-002	1.1923490E+000
2.0000000E-002	1.1922836E+000
2.0000000E-002	1.1922275E+000
2.0000000E-002	1.1921699E+000
2.0000000E-002	1.1921113E+000
2.0000000E-002	1.1920574E+000
2.0000000E-002	1.1919951E+000
2.0000000E-002	1.1919476E+000
2.0000000E-002	1.1918885E+000
2.0000000E-002	1.1918317E+000
2.0000000E-002	1.1917706E+000
2.0000000E-002	1.1917146E+000
2.0000000E-002	1.1916538E+000
2.0000000E-002	1.1916003E+000
2.0000000E-002	1.1915464E+000
2.0000000E-002	1.1914934E+000
2.0000000E-002	1.1914366E+000
2.0000000E-002	1.1913871E+000
2.0000000E-002	1.1913321E+000
2.0000000E-002	1.1912782E+000
2.0000000E-002	1.1912285E+000
2.0000000E-002	1.1911744E+000
2.0000000E-002	1.1911252E+000
2.0000000E-002	1.1910646E+000
2.0000000E-002	1.1910139E+000
2.0000000E-002	1.1909658E+000
2.0000000E-002	1.1909049E+000
2.0000000E-002	1.1908579E+000
2.0000000E-002	1.1907963E+000
2.0000000E-002	1.1907481E+000
2.0000000E-002	1.1907008E+000
2.0000000E-002	1.1906418E+000
2.0000000E-002	1.1905857E+000
2.0000000E-002	1.1905364E+000
2.0000000E-002	1.1904769E+000
2.0000000E-002	1.1904854E+000
2.0000000E-002	1.1904336E+000
2.0000000E-002	1.1903727E+000
2.0000000E-002	1.1903228E+000
2.0000000E-002	1.1902765E+000
2.0000000E-002	1.1902254E+000
2.0000000E-002	1.1901747E+000
2.0000000E-002	1.1901286E+000
2.0000000E-002	1.1900768E+000
2.0000000E-002	1.1900316E+000
2.0000000E-002	1.1899719E+000
2.0000000E-002	1.1899257E+000
2.0000000E-002	1.1898795E+000
2.0000000E-002	1.1898278E+000
2.0000000E-002	1.1897740E+000
2.0000000E-002	1.1897310E+000
2.0000000E-002	1.1896776E+000
2.0000000E-002	1.1896296E+000
2.0000000E-002	1.1895713E+000
2.0000000E-002	1.1895300E+000
2.0000000E-002	1.1894819E+000
2.0000000E-002	1.1894299E+000
2.0000000E-002	1.1893910E+000
2.0000000E-002	1.1893345E+000
2.0000000E-002	1.1892877E+000
2.0000000E-002	1.1892282E+000
2.0000000E-002	1.1891868E+000
2.0000000E-002	1.1891319E+000
2.0000000E-002	1.1890889E+000
2.0000000E-002	1.1890397E+000
2.0000000E-002	1.1889883E+000
2.0000000E-002	1.1889452E+000
2.0000000E-002	1.1888936E+000
2.0000000E-002	1.1888492E+000
2.0000000E-002	1.1888074E+000
2.0000000E-002	1.1887600E+000
2.0000000E-002	1.1887126E+000
2.0000000E-002	1.1886704E+000
2.0000000E-002	1.1886218E+000
2.0000000E-002	1.1885769E+000
2.0000000E-002	1.1885262E+000
2.0000000E-002	1.1884812E+000
2.0000000E-002	1.1884366E+000
2.0000000E-002	1.1883825E+000
2.0000000E-002	1.1883357E+000
2.0000000E-002	1.1882969E+000
2.0000000E-002	1.1882430E+000
2.0000000E-002	1.1882002E+000
2.0000000E-002	1.1881520E+000
2.0000000E-002	1.1881102E+000
2.0000000E-002	1.1880709E+000
2.0000000E-002	1.1878510E+000
2.0000000E-002	1.1880192E+000
2.0000000E-002	1.1879793E+000
2.0000000E-002	1.1879317E+000
2.0000000E-002	1.1878970E+000
2.0000000E-002	1.1878543E+000
2.0000000E-002	1.1878048E+000
2.0000000E-002	1.1877583E+000
2.0000000E-002	1.1877193E+000
2.0000000E-002	1.1876651E+000
2.0000000E-002	1.1876242E+000
2.0000000E-002	1.1875831E+000
2.0000000E-002	1.1875368E+000
2.0000000E-002	1.1875012E+000
2.0000000E-002	1.1874585E+000
2.0000000E-002	1.1874175E+000
2.0000000E-002	1.1873728E+000
2.0000000E-002	1.1873229E+000
2.0000000E-002	1.1872817E+000
2.0000000E-002	1.1872386E+000
2.0000000E-002	1.1871886E+000
2.0000000E-002	1.1871459E+000
2.0000000E-002	1.1871104E+000
2.0000000E-002	1.1870648E+000
2.0000000E-002	1.1870269E+000
2.0000000E-002	1.1869761E+000
2.0000000E-002	1.1869391E+000
2.0000000E-002	1.1868870E+000
2.0000000E-002	1.1868466E+000
2.0000000E-002	1.1868005E+000
2.0000000E-002	1.1867642E+000
2.0000000E-002	1.1867173E+000
2.0000000E-002	1.1866766E+000
2.0000000E-002	1.1866412E+000
2.0000000E-002	1.1865957E+000
2.0000000E-002	1.1865453E+000
2.0000000E-002	1.1865177E+000
2.0000000E-002	1.1864690E+000
2.0000000E-002	1.1864238E+000
2.0000000E-002	1.1863861E+000
2.0000000E-002	1.1863487E+000
2.0000000E-002	1.1863098E+000
2.0000000E-002	1.1862683E+000
2.0000000E-002	1.1862302E+000
2.0000000E-002	1.1861907E+000
2.0000000E-002	1.1861470E+000
2.0000000E-002	1.1860992E+000
2.0000000E-002	1.1860590E+000
2.0000000E-002	1.1860226E+000
2.0000000E-002	1.1859794E+000
2.0000000E-002	1.1859397E+000
2.0000000E-002	1.1858847E+000
2.0000000E-002	1.1858997E+000
2.0000000E-002	1.1858590E+000
2.0000000E-002	1.1858164E+000
2.0000000E-002	1.1857804E+000
2.0000000E-002	1.1857387E+000
2.0000000E-002	1.1857003E+000
2.0000000E-002	1.1856605E+000
2.0000000E-002	1.1856267E+000
2.0000000E-002	1.1855868E+000
2.0000000E-002	1.1855417E+000
2.0000000E-002	1.1854960E+000
2.0000000E-002	1.1854633E+000
2.0000000E-002	1.1854213E+000
2.0000000E-002	1.1853855E+000
2.0000000E-002	1.1853417E+000
2.0000000E-002	1.1853098E+000
2.0000000E-002	1.1852695E+000
2.0000000E-002	1.1852361E+000
2.0000000E-002	1.1851945E+000
2.0000000E-002	1.1851581E+000
2.0000000E-002	1.1851194E+000
2.0000000E-002	1.1850843E+000
2.0000000E-002	1.1850487E+000
2.0000000E-002	1.1850076E+000
2.0000000E-002	1.1849680E+000
2.0000000E-002	1.1849324E+000
2.0000000E-002	1.1848894E+000
2.0000000E-002	1.1848613E+000
2.0000000E-002	1.1848168E+000
2.0000000E-002	1.1847852E+000
2.0000000E-002	1.1847397E+000
2.0000000E-002	1.1847062E+000
2.0000000E-002	1.1846646E+000
2.0000000E-002	1.1846334E+000
2.0000000E-002	1.1845980E+000
2.0000000E-002	1.1845603E+000
2.0000000E-002	1.1845158E+000
2.0000000E-002	1.1844771E+000
2.0000000E-002	1.1844436E+000
2.0000000E-002	1.1844034E+000
2.0000000E-002	1.1843704E+000
2.0000000E-002	1.1843338E+000
2.0000000E-002	1.1842917E+000
2.0000000E-002	1.1842635E+000
2.0000000E-002	1.1842309E+000
2.0000000E-002	1.1841887E+000
2.0000000E-002	1.1841586E+000
2.0000000E-002	1.1841151E+000
2.0000000E-002	1.1840777E+000
2.0000000E-002	1.1840416E+000
2.0000000E-002	1.1839565E+000
2.0000000E-002	1.1840070E+000
2.0000000E-002	1.1839725E+000
2.0000000E-002	1.1839377E+000
2.0000000E-002	1.1838987E+000
2.0000000E-002	1.1838708E+000
2.0000000E-002	1.1838344E+000
2.0000000E-002	1.1837982E+000
2.0000000E-002	1.1837666E+000
2.0000000E-002	1.1837282E+000
2.0000000E-002	1.1836926E+000
2.0000000E-002	1.1836494E+000
2.0000000E-002	1.1836247E+000
2.0000000E-002	1.1835824E+000
2.0000000E-002	1.1835439E+000
2.0000000E-002	1.1835113E+000
2.0000000E-002	1.1834669E+000
2.0000000E-002	1.1834415E+000
2.0000000E-002	1.1834109E+000
2.0000000E-002	1.1833737E+000
2.0000000E-002	1.1833429E+000
2.0000000E-002	1.1833079E+000
2.0000000E-002	1.1832728E+000
2.0000000E-002	1.1832366E+000
2.0000000E-002	1.1832057E+000
2.0000000E-002	1.1831688E+000
2.0000000E-002	1.1831276E+000
2.0000000E-002	1.1831027E+000
2.0000000E-002	1.1830696E+000
2.0000000E-002	1.1830332E+000
2.0000000E-002	1.1830041E+000
2.0000000E-002	1.1829637E+000
2.0000000E-002	1.1829381E+000
2.0000000E-002	1.1829081E+000
2.0000000E-002	1.1828703E+000
2.0000000E-002	1.1828401E+000
2.0000000E-002	1.1828105E+000
2.0000000E-002	1.1827774E+000
2.0000000E-002	1.1827446E+000
2.0000000E-002	1.1827164E+000
2.0000000E-002	1.1826874E+000
2.0000000E-002	1.1826581E+000
2.0000000E-002	1.1826223E+000
2.0000000E-002	1.1825907E+000
2.0000000E-002	1.1825625E+000
2.0000000E-002	1.1825285E+000
2.0000000E-002	1.1825011E+000
2.0000000E-002	1.1824675E+000
2.0000000E-002	1.1824282E+000
2.0000000E-002	1.1823922E+000
2.0000000E-002	1.1823640E+000
2.0000000E-002	1.1823338E+000
2.0000000E-002	1.1823264E+000
2.0000000E-002	1.1822858E+000
2.0000000E-002	1.1822506E+000
2.0000000E-002	1.1822250E+000
2.0000000E-002	1.1821872E+000
2.0000000E-002	1.1821610E+000
2.0000000E-002	1.1821314E+000
2.0000000E-002	1.1820955E+000
2.0000000E-002	1.1820714E+000
2.0000000E-002	1.1820403E+000
2.0000000E-002	1.1820093E+000
2.0000000E-002	1.1819823E+000
2.0000000E-002	1.1819378E+000
2.0000000E-002	1.1819118E+000
2.0000000E-002	1.1818789E+000
2.0000000E-002	1.1818445E+000
2.0000000E-002	1.1818180E+000
2.0000000E-002	1.1817881E+000
2.0000000E-002	1.1817548E+000
2.0000000E-002	1.1817214E+000
2.0000000E-002	1.1816970E+000
2.0000000E-002	1.1816552E+000
2.0000000E-002	1.1816316E+000
2.0000000E-002	1.1815989E+000
2.0000000E-002	1.1815715E+000
2.0000000E-002	1.1815417E+000
2.0000000E-002	1.1815091E+000
2.0000000E-002	1.1814839E+000
2.0000000E-002	1.1814506E+000
2.0000000E-002	1.1814215E+000
2.0000000E-002	1.1813933E+000
2.0000000E-002	1.1813684E+000
2.0000000E-002	1.1813399E+000
2.0000000E-002	1.1813147E+000
2.0000000E-002	1.1812743E+000
2.0000000E-002	1.1812470E+000
2.0000000E-002	1.1812280E+000
2.0000000E-002	1.1811810E+000
2.0000000E-002	1.1811527E+000
2.0000000E-002	1.1811217E+000
2.0000000E-002	1.1810851E+000
2.0000000E-002	1.1810615E+000
2.0000000E-002	1.1810291E+000
2.0000000E-002	1.1810026E+000
2.0000000E-002	1.1809679E+000
2.0000000E-002	1.1809386E+000
2.0000000E-002	1.1809102E+000
2.0000000E-002	1.1808822E+000
2.0000000E-002	1.1808537E+000
2.0000000E-002	1.1808151E+000
2.0000000E-002	1.1808066E+000
2.0000000E-002	1.1807922E+000
2.0000000E-002	1.1807630E+000
2.0000000E-002	1.1807297E+000
2.0000000E-002	1.1807044E+000
2.0000000E-002	1.1806698E+000
2.0000000E-002	1.1806456E+000
2.0000000E-002	1.1806179E+000
2.0000000E-002	1.1805897E+000
2.0000000E-002	1.1805652E+000
2.0000000E-002	1.1805419E+000
2.0000000E-002	1.1805094E+000
2.0000000E-002	1.1804850E+000
2.0000000E-002	1.1804554E+000
2.0000000E-002	1.1804253E+000
2.0000000E-002	1.1804020E+000
2.0000000E-002	1.1803761E+000
2.0000000E-002	1.1803453E+000
2.0000000E-002	1.1803174E+000
2.0000000E-002	1.1802899E+000
2.0000000E-002	1.1802696E+000
2.0000000E-002	1.1802402E+000
2.0000000E-002	1.1802198E+000
2.0000000E-002	1.1801891E+000
2.0000000E-002	1.1801676E+000
2.0000000E-002	1.1801395E+000
2.0000000E-002	1.1801105E+000
2.0000000E-002	1.1800832E+000
2.0000000E-002	1.1800563E+000
2.0000000E-002	1.1800284E+000
2.0000000E-002	1.1800069E+000
2.0000000E-002	1.1799710E+000
2.0000000E-002	1.1799428E+000
2.0000000E-002	1.1799215E+000
2.0000000E-002	1.1798873E+000
2.0000000E-002	1.1798557E+000
2.0000000E-002	1.1798247E+000
2.0000000E-002	1.1798018E+000
2.0000000E-002	1.1797713E+000
2.0000000E-002	1.1797405E+000
2.0000000E-002	1.1797181E+000
2.0000000E-002	1.1796887E+000
2.0000000E-002	1.1796633E+000
2.0000000E-002	1.1796422E+000
2.0000000E-002	1.1796116E+000
2.0000000E-002	1.1795883E+000
2.0000000E-002	1.1795629E+000
2.0000000E-002	1.1795353E+000
2.0000000E-002	1.1795068E+000
2.0000000E-002	1.1794811E+000
2.0000000E-002	1.1794533E+000
2.0000000E-002	1.1794322E+000
2.0000000E-002	1.1794330E+000
2.0000000E-002	1.1794049E+000
2.0000000E-002	1.1793765E+000
2.0000000E-002	1.1793493E+000
2.0000000E-002	1.1793220E+000
2.0000000E-002	1.1792929E+000
2.0000000E-002	1.1792662E+000
2.0000000E-002	1.1792421E+000
2.0000000E-002	1.1792148E+000
2.0000000E-002	1.1791883E+000
2.0000000E-002	1.1791735E+000
2.0000000E-002	1.1791430E+000
2.0000000E-002	1.1791149E+000
2.0000000E-002	1.1790912E+000
2.0000000E-002	1.1790701E+000
2.0000000E-002	1.1790482E+000
2.0000000E-002	1.1790173E+000
2.0000000E-002	1.1789969E+000
