control/mA	<Ewe>/V	
2.0000000E-002	1.1981958E+000
2.0000000E-002	1.1980208E+000
2.0000000E-002	1.1978555E+000
2.0000000E-002	1.1976829E+000
2.0000000E-002	1.1975055E+000
2.0000000E-002	1.1973368E+000
2.0000000E-002	1.1971769E+000
2.0000000E-002	1.1969914E+000
2.0000000E-002	1.1968160E+000
2.0000000E-002	1.1966525E+000
2.0000000E-002	1.1964867E+000
2.0000000E-002	1.1963151E+000
2.0000000E-002	1.1961557E+000
2.0000000E-002	1.1959928E+000
2.0000000E-002	1.1958247E+000
2.0000000E-002	1.1956520E+000
2.0000000E-002	1.1954858E+000
2.0000000E-002	1.1953236E+000
2.0000000E-002	1.1951586E+000
2.0000000E-002	1.1949916E+000
2.0000000E-002	1.1948333E+000
2.0000000E-002	1.1946750E+000
2.0000000E-002	1.1945059E+000
2.0000000E-002	1.1943452E+000
2.0000000E-002	1.1941763E+000
2.0000000E-002	1.1940229E+000
2.0000000E-002	1.1938671E+000
2.0000000E-002	1.1937881E+000
2.0000000E-002	1.1937022E+000
2.0000000E-002	1.1935450E+000
2.0000000E-002	1.1933944E+000
2.0000000E-002	1.1932293E+000
2.0000000E-002	1.1930845E+000
2.0000000E-002	1.1929201E+000
2.0000000E-002	1.1927712E+000
2.0000000E-002	1.1926169E+000
2.0000000E-002	1.1924651E+000
2.0000000E-002	1.1923090E+000
2.0000000E-002	1.1921610E+000
2.0000000E-002	1.1920046E+000
2.0000000E-002	1.1918468E+000
2.0000000E-002	1.1916928E+000
2.0000000E-002	1.1915433E+000
2.0000000E-002	1.1913970E+000
2.0000000E-002	1.1912502E+000
2.0000000E-002	1.1910983E+000
2.0000000E-002	1.1909539E+000
2.0000000E-002	1.1908001E+000
2.0000000E-002	1.1906477E+000
2.0000000E-002	1.1904998E+000
2.0000000E-002	1.1903439E+000
2.0000000E-002	1.1902066E+000
2.0000000E-002	1.1900615E+000
2.0000000E-002	1.1899168E+000
2.0000000E-002	1.1897752E+000
2.0000000E-002	1.1896285E+000
2.0000000E-002	1.1894851E+000
2.0000000E-002	1.1893369E+000
2.0000000E-002	1.1891937E+000
2.0000000E-002	1.1890544E+000
2.0000000E-002	1.1889060E+000
2.0000000E-002	1.1887692E+000
2.0000000E-002	1.1886246E+000
2.0000000E-002	1.1884872E+000
2.0000000E-002	1.1883456E+000
2.0000000E-002	1.1882024E+000
2.0000000E-002	1.1880651E+000
2.0000000E-002	1.1879265E+000
2.0000000E-002	1.1877942E+000
2.0000000E-002	1.1876527E+000
2.0000000E-002	1.1875296E+000
2.0000000E-002	1.1873949E+000
2.0000000E-002	1.1872523E+000
2.0000000E-002	1.1871145E+000
2.0000000E-002	1.1869828E+000
2.0000000E-002	1.1868323E+000
2.0000000E-002	1.1867085E+000
2.0000000E-002	1.1865746E+000
2.0000000E-002	1.1865337E+000
2.0000000E-002	1.1864380E+000
2.0000000E-002	1.1862980E+000
2.0000000E-002	1.1861688E+000
2.0000000E-002	1.1860305E+000
2.0000000E-002	1.1858975E+000
2.0000000E-002	1.1857685E+000
2.0000000E-002	1.1856284E+000
2.0000000E-002	1.1854973E+000
2.0000000E-002	1.1853654E+000
2.0000000E-002	1.1852434E+000
2.0000000E-002	1.1851153E+000
2.0000000E-002	1.1849812E+000
2.0000000E-002	1.1848483E+000
2.0000000E-002	1.1847118E+000
2.0000000E-002	1.1845796E+000
2.0000000E-002	1.1844469E+000
2.0000000E-002	1.1843266E+000
2.0000000E-002	1.1841946E+000
2.0000000E-002	1.1840677E+000
2.0000000E-002	1.1839418E+000
2.0000000E-002	1.1838185E+000
2.0000000E-002	1.1836888E+000
2.0000000E-002	1.1835607E+000
2.0000000E-002	1.1834276E+000
2.0000000E-002	1.1833069E+000
2.0000000E-002	1.1831809E+000
2.0000000E-002	1.1830448E+000
2.0000000E-002	1.1829320E+000
2.0000000E-002	1.1828126E+000
2.0000000E-002	1.1826884E+000
2.0000000E-002	1.1825713E+000
2.0000000E-002	1.1824460E+000
2.0000000E-002	1.1823199E+000
2.0000000E-002	1.1821917E+000
2.0000000E-002	1.1820697E+000
2.0000000E-002	1.1819444E+000
2.0000000E-002	1.1818130E+000
2.0000000E-002	1.1816980E+000
2.0000000E-002	1.1815755E+000
2.0000000E-002	1.1814660E+000
2.0000000E-002	1.1813475E+000
2.0000000E-002	1.1812248E+000
2.0000000E-002	1.1810980E+000
2.0000000E-002	1.1809739E+000
2.0000000E-002	1.1808496E+000
2.0000000E-002	1.1807299E+000
2.0000000E-002	1.1806104E+000
2.0000000E-002	1.1804992E+000
2.0000000E-002	1.1803792E+000
2.0000000E-002	1.1802728E+000
2.0000000E-002	1.1801575E+000
2.0000000E-002	1.1801605E+000
2.0000000E-002	1.1800420E+000
2.0000000E-002	1.1799228E+000
2.0000000E-002	1.1797911E+000
2.0000000E-002	1.1796697E+000
2.0000000E-002	1.1795588E+000
2.0000000E-002	1.1794416E+000
2.0000000E-002	1.1793256E+000
2.0000000E-002	1.1792047E+000
2.0000000E-002	1.1790917E+000
2.0000000E-002	1.1789904E+000
2.0000000E-002	1.1788813E+000
2.0000000E-002	1.1787615E+000
2.0000000E-002	1.1786357E+000
2.0000000E-002	1.1785147E+000
2.0000000E-002	1.1784068E+000
2.0000000E-002	1.1782943E+000
2.0000000E-002	1.1781816E+000
2.0000000E-002	1.1780756E+000
2.0000000E-002	1.1779643E+000
2.0000000E-002	1.1778481E+000
2.0000000E-002	1.1777471E+000
2.0000000E-002	1.1776332E+000
2.0000000E-002	1.1775298E+000
2.0000000E-002	1.1774095E+000
2.0000000E-002	1.1772882E+000
2.0000000E-002	1.1771857E+000
2.0000000E-002	1.1770680E+000
2.0000000E-002	1.1769617E+000
2.0000000E-002	1.1768528E+000
2.0000000E-002	1.1767429E+000
2.0000000E-002	1.1766355E+000
2.0000000E-002	1.1765311E+000
2.0000000E-002	1.1764238E+000
2.0000000E-002	1.1763135E+000
2.0000000E-002	1.1761978E+000
2.0000000E-002	1.1760850E+000
2.0000000E-002	1.1759783E+000
2.0000000E-002	1.1758660E+000
2.0000000E-002	1.1757601E+000
2.0000000E-002	1.1756513E+000
2.0000000E-002	1.1755490E+000
2.0000000E-002	1.1754409E+000
2.0000000E-002	1.1753411E+000
2.0000000E-002	1.1752410E+000
2.0000000E-002	1.1751316E+000
2.0000000E-002	1.1750095E+000
2.0000000E-002	1.1749070E+000
2.0000000E-002	1.1748039E+000
2.0000000E-002	1.1746891E+000
2.0000000E-002	1.1745832E+000
2.0000000E-002	1.1745838E+000
2.0000000E-002	1.1744837E+000
2.0000000E-002	1.1743761E+000
2.0000000E-002	1.1742811E+000
2.0000000E-002	1.1741747E+000
2.0000000E-002	1.1740668E+000
2.0000000E-002	1.1739684E+000
2.0000000E-002	1.1738682E+000
2.0000000E-002	1.1737577E+000
2.0000000E-002	1.1736581E+000
2.0000000E-002	1.1735564E+000
