time/s	<Ewe>/V	
3.688241934190592E+002	1.2124978E+000
4.288241919033317E+002	1.2155266E+000
4.888241903876042E+002	1.2167872E+000
5.488241888718767E+002	1.2178411E+000
6.088241873561492E+002	1.2184663E+000
6.089261873535725E+002	1.2186978E+000
1.039972379179308E+003	1.2056905E+000
1.099972377663580E+003	1.2096108E+000
1.159972376147853E+003	1.2111964E+000
1.219972374632125E+003	1.2121603E+000
1.279972373116398E+003	1.2128227E+000
1.280074373113821E+003	1.2130896E+000
1.709956364904065E+003	1.2078453E+000
1.769956363388337E+003	1.2116820E+000
1.829956361872610E+003	1.2133956E+000
1.889956360356882E+003	1.2145138E+000
1.949956358841155E+003	1.2153368E+000
1.950058358838578E+003	1.2157037E+000
2.373791350793981E+003	1.3043590E+000
2.433791349278254E+003	1.3065333E+000
2.493791347762526E+003	1.3077444E+000
2.553791346246799E+003	1.3085965E+000
2.613791344731071E+003	1.3093997E+000
2.613893344728494E+003	1.3097111E+000
3.037999936663764E+003	1.2932432E+000
3.097999935148036E+003	1.2953653E+000
3.157999933632309E+003	1.2965575E+000
3.217999932116581E+003	1.2974272E+000
3.277999930600854E+003	1.2981058E+000
3.278101930598277E+003	1.2983998E+000
3.700351722569030E+003	1.3056358E+000
3.760351721053303E+003	1.3076155E+000
3.820351719537575E+003	1.3087426E+000
3.880351718021848E+003	1.3095447E+000
3.940351716506120E+003	1.3102441E+000
3.940453716503544E+003	1.3105265E+000
4.365913711476358E+003	1.2802346E+000
4.425913710749926E+003	1.2854034E+000
4.485913710023495E+003	1.2880768E+000
4.545913709297063E+003	1.2900947E+000
4.605913708570632E+003	1.2914659E+000
4.606015708569394E+003	1.2920687E+000
5.031127305582166E+003	1.2738218E+000
5.091127304855734E+003	1.2794305E+000
5.151127304129303E+003	1.2822415E+000
5.211127303402871E+003	1.2841177E+000
5.271127302676439E+003	1.2855145E+000
5.271229302675201E+003	1.2861220E+000
5.697318099686614E+003	1.2787400E+000
5.757318098960182E+003	1.2839003E+000
5.817318098233751E+003	1.2865283E+000
5.877318097507319E+003	1.2883239E+000
5.937318096780888E+003	1.2897102E+000
5.937420096779650E+003	1.2903146E+000
6.365372293838649E+003	1.2515628E+000
6.425372293112217E+003	1.2516402E+000
6.485372292385786E+003	1.2516836E+000
6.545372291659354E+003	1.2517098E+000
6.605372290932923E+003	1.2517416E+000
6.605474290931685E+003	1.2517641E+000
7.033059688014429E+003	1.2524250E+000
7.093059687287998E+003	1.2528003E+000
7.153059686561566E+003	1.2529292E+000
7.213059685835135E+003	1.2529904E+000
7.273059685108703E+003	1.2530435E+000
7.273161685107465E+003	1.2530773E+000
7.701039682159855E+003	1.2498871E+000
7.761039681433424E+003	1.2500479E+000
7.821039680706992E+003	1.2500130E+000
7.881039679980560E+003	1.2499312E+000
7.941039679254129E+003	1.2498726E+000
7.941141679252891E+003	1.2498554E+000
8.372233076275501E+003	1.2083524E+000
8.432233075549069E+003	1.2117122E+000
8.492233074822638E+003	1.2134228E+000
8.552233074096206E+003	1.2145694E+000
8.612233073369775E+003	1.2154958E+000
8.612335073368537E+003	1.2159457E+000
9.042800670408105E+003	1.2088482E+000
9.102800669681674E+003	1.2120816E+000
9.162800668955242E+003	1.2136140E+000
9.222800668228811E+003	1.2146828E+000
9.282800667502379E+003	1.2155718E+000
9.282902667501156E+003	1.2161976E+000
9.714055864513750E+003	1.2183046E+000
9.774055863787318E+003	1.2211350E+000
9.834055863060887E+003	1.2226324E+000
9.894055862334455E+003	1.2238886E+000
9.954055861608023E+003	1.2249181E+000
9.954157861606800E+003	1.2253575E+000
