time/s	<Ewe>/V	
3.645981934389420E+002	1.2427435E+000
4.245981919232145E+002	1.2422212E+000
4.845981904074870E+002	1.2418588E+000
5.445981888917595E+002	1.2416298E+000
6.045981873760320E+002	1.2414788E+000
6.047001873734553E+002	1.2414132E+000
1.031281379236534E+003	1.2373410E+000
1.091281377720807E+003	1.2379794E+000
1.151281376205079E+003	1.2382642E+000
1.211281374689352E+003	1.2384021E+000
1.271281373173624E+003	1.2384787E+000
1.271383373171047E+003	1.2385194E+000
1.697774765027498E+003	1.2257402E+000
1.757774763511770E+003	1.2281405E+000
1.817774761996043E+003	1.2296022E+000
1.877774760480315E+003	1.2305584E+000
1.937774758964588E+003	1.2311033E+000
1.937876758962011E+003	1.2310849E+000
2.369007550820315E+003	1.2193198E+000
2.429007549304588E+003	1.2222371E+000
2.489007547788860E+003	1.2234545E+000
2.549007546273133E+003	1.2242191E+000
2.609007544757405E+003	1.2247554E+000
2.609109544754829E+003	1.2249746E+000
3.040100336640244E+003	1.2211080E+000
3.100100335124516E+003	1.2237315E+000
3.160100333608789E+003	1.2247684E+000
3.220100332093061E+003	1.2254686E+000
3.280100330577334E+003	1.2260413E+000
3.280202330574757E+003	1.2262868E+000
3.711212922433333E+003	1.2188392E+000
3.771212920917606E+003	1.2216920E+000
3.831212919401878E+003	1.2227507E+000
3.891212917886151E+003	1.2234151E+000
3.951212916370423E+003	1.2239299E+000
3.951314916367846E+003	1.2241523E+000
4.375819311521671E+003	1.3188369E+000
4.435819310795239E+003	1.3217702E+000
4.495819310068808E+003	1.3235607E+000
4.555819309342376E+003	1.3250823E+000
4.615819308615944E+003	1.3264498E+000
4.615921308614721E+003	1.3270884E+000
5.038659905682551E+003	1.3159988E+000
5.098659904956119E+003	1.3183643E+000
5.158659904229688E+003	1.3197833E+000
5.218659903503256E+003	1.3209116E+000
5.278659902776824E+003	1.3217987E+000
5.278761902775586E+003	1.3222045E+000
5.701622099851273E+003	1.3164624E+000
5.761622099124841E+003	1.3185058E+000
5.821622098398409E+003	1.3196980E+000
5.881622097671978E+003	1.3205017E+000
5.941622096945546E+003	1.3212485E+000
5.941724096944308E+003	1.3216267E+000
6.368452693957850E+003	1.2756048E+000
6.428452693231418E+003	1.2823354E+000
6.488452692504987E+003	1.2851390E+000
6.548452691778555E+003	1.2868625E+000
6.608452691052124E+003	1.2880573E+000
6.608554691050886E+003	1.2886146E+000
7.037142688040927E+003	1.2846212E+000
7.097142687314496E+003	1.2914960E+000
7.157142686588064E+003	1.2942467E+000
7.217142685861632E+003	1.2959586E+000
7.277142685135201E+003	1.2970829E+000
7.277244685133963E+003	1.2975699E+000
7.703064482149392E+003	1.2794914E+000
7.763064481422960E+003	1.2864708E+000
7.823064480696528E+003	1.2892720E+000
7.883064479970097E+003	1.2910072E+000
7.943064479243665E+003	1.2922249E+000
7.943166479242427E+003	1.2927144E+000
8.369660476311779E+003	1.2447802E+000
8.429660475585348E+003	1.2458930E+000
8.489660474858916E+003	1.2464436E+000
8.549660474132485E+003	1.2470306E+000
8.609660473406053E+003	1.2473549E+000
8.609762473404800E+003	1.2476201E+000
9.037696270465938E+003	1.2434379E+000
9.097696269739507E+003	1.2447286E+000
9.157696269013075E+003	1.2454599E+000
9.217696268286643E+003	1.2460053E+000
9.277696267560212E+003	1.2461910E+000
9.277798267558974E+003	1.2463492E+000
9.704416264574131E+003	1.2518375E+000
9.764416263847699E+003	1.2536054E+000
9.824416263121268E+003	1.2541530E+000
9.884416262394836E+003	1.2548745E+000
9.944416261668404E+003	1.2553450E+000
9.944518261667166E+003	1.2555766E+000
