time/s	<Ewe>/V	
3.609441935671202E+002	1.3177056E+000
4.209441920513927E+002	1.3200014E+000
4.809441905356653E+002	1.3212488E+000
5.409441890199378E+002	1.3221544E+000
6.009441875042103E+002	1.3229378E+000
6.010461875016335E+002	1.3232582E+000
1.023962579499348E+003	1.3130246E+000
1.083962577983621E+003	1.3155174E+000
1.143962576467893E+003	1.3169621E+000
1.203962574952166E+003	1.3180058E+000
1.263962573436438E+003	1.3188653E+000
1.264064573433861E+003	1.3192848E+000
1.687263365423642E+003	1.3169187E+000
1.747263363907914E+003	1.3191137E+000
1.807263362392187E+003	1.3202217E+000
1.867263360876459E+003	1.3210413E+000
1.927263359360732E+003	1.3216656E+000
1.927365359358155E+003	1.3217604E+000
2.353191151250794E+003	1.2939216E+000
2.413191149735067E+003	1.2997195E+000
2.473191148219339E+003	1.3024348E+000
2.533191146703612E+003	1.3042364E+000
2.593191145187884E+003	1.3056027E+000
2.593293145185307E+003	1.3062016E+000
3.019112137101765E+003	1.2943193E+000
3.079112135586038E+003	1.3000747E+000
3.139112134070310E+003	1.3027966E+000
3.199112132554583E+003	1.3046088E+000
3.259112131038855E+003	1.3059574E+000
3.259214131036279E+003	1.3065121E+000
3.686822122975427E+003	1.2977562E+000
3.746822121459700E+003	1.3034018E+000
3.806822119943972E+003	1.3060365E+000
3.866822118428245E+003	1.3077838E+000
3.926822116912517E+003	1.3090906E+000
3.926924116909940E+003	1.3096523E+000
4.355355511752641E+003	1.2698126E+000
4.415355511026210E+003	1.2709030E+000
4.475355510299778E+003	1.2715483E+000
4.535355509573346E+003	1.2720319E+000
4.595355508846915E+003	1.2724447E+000
4.595457508845677E+003	1.2726320E+000
5.022148505925477E+003	1.2718875E+000
5.082148505199046E+003	1.2732567E+000
5.142148504472614E+003	1.2740194E+000
5.202148503746183E+003	1.2745689E+000
5.262148503019751E+003	1.2750131E+000
5.262250503018513E+003	1.2751973E+000
5.690195100088022E+003	1.2666609E+000
5.750195099361590E+003	1.2680392E+000
5.810195098635159E+003	1.2689084E+000
5.870195097908727E+003	1.2695626E+000
5.930195097182295E+003	1.2700821E+000
5.930297097181057E+003	1.2703129E+000
6.361262294197179E+003	1.2284484E+000
6.421262293470747E+003	1.2314069E+000
6.481262292744315E+003	1.2328353E+000
6.541262292017884E+003	1.2338620E+000
6.601262291291452E+003	1.2346548E+000
6.601364291290214E+003	1.2349967E+000
7.031921688310627E+003	1.2267357E+000
7.091921687584196E+003	1.2298163E+000
7.151921686857764E+003	1.2312866E+000
7.211921686131333E+003	1.2322880E+000
7.271921685404901E+003	1.2330722E+000
7.272023685403663E+003	1.2334239E+000
7.702172082439007E+003	1.2157499E+000
7.762172081712575E+003	1.2197567E+000
7.822172080986144E+003	1.2214994E+000
7.882172080259712E+003	1.2226150E+000
7.942172079533280E+003	1.2234205E+000
7.942274079532057E+003	1.2237347E+000
