time/s	<Ewe>/V	
3.715545933912654E+002	1.3495398E+000
4.315545918755379E+002	1.3606879E+000
4.915545903598104E+002	1.3660392E+000
5.515545888440829E+002	1.3696028E+000
6.115545873283554E+002	1.3722100E+000
6.116565873257787E+002	1.3733449E+000
1.043680579150750E+003	1.3524998E+000
1.103680577635023E+003	1.3636487E+000
1.163680576119295E+003	1.3690537E+000
1.223680574603568E+003	1.3726987E+000
1.283680573087840E+003	1.3757268E+000
1.283782573085264E+003	1.3770772E+000
1.725752364698128E+003	1.3323350E+000
1.785752363182401E+003	1.3509668E+000
1.845752361666673E+003	1.3602796E+000
1.905752360150946E+003	1.3665508E+000
1.965752358635218E+003	1.3702953E+000
1.965854358632641E+003	1.3706952E+000
2.392628350492305E+003	1.2235533E+000
2.452628348976577E+003	1.2254082E+000
2.512628347460850E+003	1.2268279E+000
2.572628345945122E+003	1.2279326E+000
2.632628344429395E+003	1.2288383E+000
2.632730344426818E+003	1.2292620E+000
3.058581336319694E+003	1.2290334E+000
3.118581334803966E+003	1.2313155E+000
3.178581333288239E+003	1.2329959E+000
3.238581331772511E+003	1.2343090E+000
3.298581330256784E+003	1.2353994E+000
3.298683330254207E+003	1.2358904E+000
3.725172122142249E+003	1.2356758E+000
3.785172120626521E+003	1.2378674E+000
3.845172119110794E+003	1.2394364E+000
3.905172117595066E+003	1.2406501E+000
3.965172116079339E+003	1.2416281E+000
3.965274116076762E+003	1.2420809E+000
4.397551711384265E+003	1.2164135E+000
4.457551710657834E+003	1.2196344E+000
4.517551709931402E+003	1.2212011E+000
4.577551709204970E+003	1.2223053E+000
4.637551708478539E+003	1.2231783E+000
4.637653708477301E+003	1.2235552E+000
5.070111305484679E+003	1.2227583E+000
5.130111304758248E+003	1.2259281E+000
5.190111304031816E+003	1.2275506E+000
5.250111303305384E+003	1.2287855E+000
5.310111302578953E+003	1.2298117E+000
5.310213302577729E+003	1.2302821E+000
5.739984099555324E+003	1.2051752E+000
5.799984098828892E+003	1.2096001E+000
5.859984098102461E+003	1.2119846E+000
5.919984097376029E+003	1.2138354E+000
5.979984096649598E+003	1.2155665E+000
5.980086096648360E+003	1.2163796E+000
6.411991693662552E+003	1.2960044E+000
6.471991692936121E+003	1.3050616E+000
6.531991692209689E+003	1.3096998E+000
6.591991691483257E+003	1.3131547E+000
6.651991690756826E+003	1.3158427E+000
6.652093690755602E+003	1.3170305E+000
7.086009087765095E+003	1.3393344E+000
7.146009087038663E+003	1.3490728E+000
7.206009086312231E+003	1.3536974E+000
7.266009085585800E+003	1.3569778E+000
7.326009084859368E+003	1.3595443E+000
7.326111084858130E+003	1.3607267E+000
